Name	B_lymphocyte_centroblast	H9_differentiated_mesenchymal_cell	H9_differentiated_forebrain_cell	Prostate_epithelial_cell	Fibroblast_cell	Red_blood_cell	CD4_T_lymphocyte	Dendritic_cell	Macrophage	B_lymphocyte_CD77	Dopaminergic_neuron	Embryonic_stem_cell	Corona_radiata	Myotube	Biliosphere	CD8_T_lymphocyte	Keratinocyte_epithelial_cell	Islet_beta_cell	Smooth_muscle_cell	Mesangial_cell	iPSC_cardiomyocyte	Cumulus_oophorus	H9_differentiated_midbrain_cell	CD3_T_lymphocyte	Myoblast	Mammary_epithelial_cell	Neural_stem_cell	Retinal_pigment_epithelial_cell	Colonic_epithelial_cell	Chondrocyte	Cortical_neuron	B_lymphocyte_centrocyte	Bronchial_epithelial_cell	Monocyte	Islet_alpha_cell	Melanocyte	CD14_monocyte	Osteoblast	Plasma_cell	iPSC_neuron	Astrocyte	Valve_interstitial_cell	B_lymphocyte_pregerminal_center	Endothelial_cell	B_lymphocyte_memory	Platelet	Renal_epithelial_cell	B_lymphocyte_naive
hsa-miR-4693-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3678-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-5739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-372-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1275	216.5543792	0	146.5980288	107.69286	15.3895424	0	51.6125006	0	3.490569808	87.66441654	0	134.5831274	59.65554886	28.61589589	29.64783776	83.80062941	7.513701518	52.83025827	2.362206003	21.21430693	0	81.5926893	165.9138866	328.4220287	264.081516	119.6438033	150.0002142	4.71605731	75.53098281	46.18937644	49.79782085	170.7650273	0	44.86604282	23.70756716	0	0	0	211.0988315	2.701780973	0	2.494038392	38.89915394	28.3909125	74.01467958	0	3.964706755	0	
hsa-miR-6722-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-409-5p	24.06159769	46.68155447	18.77095153	233.3345299	15.57392426	2.591809483	12.04124464	23.30710711	17.16976174	14.9891457	254.2265158	0	5.965554886	31.34714336	1.378289512	1.723566916	56.53780145	7.99316436	128.7311757	424.2861386	0	9.065854366	5.72083341	6.439647622	51.03680235	358.9314099	3.248648668	154.1831097	0	623.556582	79.67651336	26.27154266	378.4182119	19.22830406	71.12270148	72.17966571	2.415546457	537.5343712	12.41757832	303.234137	136.9273503	1152.373021	19.44957697	82.79777686	12.33577993	5.18133494	393.7835159	6.467845108	
hsa-miR-3130-1-36-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-374a-3p	24.06159769	18.02362658	66.23313628	71.79523998	208.4434105	2.275164154	1.822360964	49.618899	6.705958028	0	145.2722948	220.3744352	23.86221954	40.05808218	34.51653943	0	61.93405841	55.57977138	233.7803755	148.5001485	0	9.065854366	58.29286597	12.87929524	63.07796193	68.3678876	139.2478638	40.19056915	15.10619656	230.9468822	109.5552059	39.407314	59.75024398	108.9603897	11.85378358	48.2989948	103.8684977	186.06959	161.4285182	5.635614912	215.1715504	98.4048839	38.89915394	160.9697116	135.6935792	9.977147433	113.7958307	45.27491576	
hsa-miR-500a-3p	0	21.43382497	363.9022205	53.84642998	146.247858	6.42928477	7.585508797	154.1541786	24.29414914	43.66264142	163.4313316	27.08061758	0	640.1829132	4.417370876	8.521936992	160.9094038	7.859292465	315.4270929	84.85722771	280.8442611	0	335.2124226	0	302.398887	85.4598595	200.8301718	129.6520242	30.21239312	92.37875289	109.5552059	0	79.66699197	38.45660813	77.04959327	394.5567717	99.03740474	186.06959	0	669.4352713	78.24420015	278.6987083	0	230.9178577	12.33577993	16.34460731	129.046219	0	
hsa-miR-623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3653-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4482-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1185-1-43-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-302f	24.06159769	43641.4746	0	53.84642998	142.5275121	0	0	9.515086634	2.669324221	0	18.15903684	3820.860113	35.79332932	102.7645834	17.37106572	0	53.63646795	15.64576835	151.5666403	106.0715346	21.6034047	54.3951262	8.048465318	0	166.6753239	51.2759157	13221.65179	19.07950048	0	161.6628176	19.91912834	26.27154266	59.75024398	19.22830406	5.92689179	24.94149367	0	124.0463934	24.83515665	290.4465324	78.24420015	48.18012644	19.44957697	105.9240272	24.67155986	7.972173026	82.06099394	6.467845108	
hsa-miR-345-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-7856-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-30e-5p	613.5707411	101.5564039	470.2474905	1005.13336	1177.976376	388.1172371	1049.819619	812.665828	364.1772555	899.4396001	381.3397737	305.3146488	143.1733173	372.6788654	681.5032373	636.4233165	1483.188162	196.4393525	1288.434424	1251.644109	950.5498066	108.7902524	489.5072246	804.9559528	455.0717791	734.9547917	532.7431617	1243.630016	1087.646152	1293.30254	448.1803876	722.4674233	956.0039037	756.3132932	157.0626324	520.1960941	157.0105197	1571.254316	645.7140728	1334.002568	1956.105004	1145.234616	398.7163279	1184.846774	345.401838	105.4272824	1248.48009	478.620538	
hsa-miR-193b-3p	264.6775746	675.6501243	832.3165849	1005.13336	511.8154914	0	198.9804697	101.4378524	29.42645763	908.1649042	272.3855527	245.8890356	4354.855067	1026.616644	36.80673861	39.07429688	1564.677909	20.50316278	598.318065	169.7144554	194.4306423	10933.42037	604.4423236	25.75859049	1329.554718	922.9664826	2280.391002	402.4212627	60.42478625	438.7990762	159.3530267	275.851198	916.1704077	0	0	208.3025394	0	682.2551634	1875.054327	185.3568709	449.9041509	295.9748762	58.34873092	209.6970341	148.0293592	1.378379861	412.1205021	6.467845108	
hsa-miR-6828-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-520g-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1233-2-34-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-323b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-124-2-48-3p	0	0	345.7398465	71.79523998	2.05620328	0	496.9560784	5.187779043	5.58393844	0	1706.949463	8.140450179	0	4.309347121	0	0	0	1.798832107	8.333566806	0	0	0	974.8440471	0	20.83568731	17.0919719	117.4461969	0	0	23.09468822	7081.250124	0	59.75024398	0	0	3.147363024	0	0	0	464.179803	0	0	0	2.132172382	0	0	14.35110308	0	
hsa-miR-1255a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-579-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3184-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4690-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-9-1-36-3p	12.03079885	0	1304.717305	35.89761999	1.702029009	0	0	1.71608277	0	1.865750715	345.0217	8.140450179	0	0	37.70404057	0	0	1.512631471	4.307888328	0	0	0	621.9660198	0	0	17.0919719	96.54907631	84.91250227	0	23.09468822	8306.276517	26.27154266	0	0	0	12.47074683	65.21975434	0	12.41757832	8552.04309	4968.506709	0	0	0	0	0	9.950499122	0	
hsa-miR-2276-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-135b-5p	0	208.5339081	2328.68517	1633.341709	35.15768891	0	20.59023871	0	0	0	2160.925385	82.39506135	53.68999397	4.761470399	1049.818216	1.959171883	2820.154049	0	24.38999696	254.5716831	43.20680939	108.7902524	245.580029	0	13.83579869	2119.404516	4101.424362	1216.810275	151.0619656	69.28406467	2788.677967	0	1513.672847	0	0	6.26492143	0	20.67439889	12.41757832	23964.43057	1643.128203	91.22976586	0	2.062413152	0	0	3209.72113	0	
hsa-miR-4419b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-519d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6734-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-450a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-369-3p	0	0	0	0	0	0	0	0	1.502850849	0	0	1.118004512	0	0	14.32443776	0	0	4.673163259	0	0	0	0	0	0	0	0	0	2.214889258	0	0	0	0	0	0	2.963445895	0	0	0	0	0	0	0	0	0	0	2.902802349	0	0	
hsa-miR-4727-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1178-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-328-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6821-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1238-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-8061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4671-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-593-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-98-5p	2069.297401	1555.931717	0	1561.546469	1836.696576	240.7708541	3702.15836	2725.380614	1854.122089	1606.633329	3214.149522	343.221825	1545.078715	1116.914967	1685.520775	1474.623892	2071.167269	3848.152445	3365.693235	1866.85901	928.946402	2329.924572	0	296.2237906	1264.560729	1657.921274	0	5277.422029	755.3098281	1293.30254	6901.977969	2036.044557	1832.340815	1730.547366	10066.8257	894.6402873	381.6563402	1199.115136	1577.032447	526.5929804	2582.058605	1886.371923	1205.873772	2062.655577	1727.00919	7060.594779	2245.842171	924.9018505	
hsa-miR-324-5p	782.0019249	18.02362658	87.16770946	17.94880999	41.31668696	92.19513604	53.9616909	52.20996623	112.9778025	46.91856162	108.9542211	29.80607637	11.93110977	25.18518583	60.48298021	135.1217251	17.87882265	49.88351012	46.24931066	21.21430693	626.4987362	299.1731941	181.3878642	25.75859049	24.7779476	17.0919719	64.63313298	79.14913585	75.53098281	23.09468822	49.79782085	814.4178226	19.91674799	64.09434688	165.9529701	8.405274115	43.47983623	20.67439889	434.6152413	17.54175634	39.12210007	4.48421706	583.4873092	79.66764484	74.01467958	230.8366853	31.31212951	19.40353532	
hsa-miR-586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-486-2-49-5p	986.5255053	311.6776811	255.2275013	0	14.90508854	263004.0213	1675.238391	199.3659533	218.6907836	32788.76772	1361.927763	312.9184151	876.9365683	313.2753301	364.9014213	2088.044721	0	91.10120882	4.190875957	169.7144554	3024.476658	253.8439223	334.8670204	540.9304003	77.26985989	0	297.986942	74.17714394	15.10619656	300.2309469	388.4230026	880.0966793	0	1237.020895	162.9895242	19.71798206	0	434.1623767	1105.164471	4.949085137	1310.590352	28.61574192	262.5692891	6.882334801	1677.66607	14544.89431	183.1144442	2056.774744	
hsa-miR-8068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6802-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4680-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6889-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-30b-5p	1010.587103	435.2870614	2689.886071	1184.62146	820.0042365	80.61361732	761.7495824	973.7896356	2788.877398	3130.667211	962.4289528	494.3581784	340.0366285	593.0905891	1625.244095	1394.89455	1017.680426	332.7853849	779.0672415	806.1436633	5033.593294	262.9097766	3048.607436	940.1885529	745.414617	1110.978174	2132.77468	2604.611731	1389.770084	577.3672055	707.129056	1274.169819	1095.42114	314.0622997	260.7832388	776.5481082	14.49327874	847.6503546	608.4613379	3993.772516	1623.567153	523.9948671	777.9830789	1080.087506	431.7522975	537.7480994	4590.349592	627.3809755	
hsa-miR-8076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6781-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-320c-1	3320.500481	2763.924735	53008.28578	11200.05744	9682.852191	4959.383582	2699.70545	7701.192772	10211.07446	1984.33603	21809.00325	7364.273291	23969.59953	11674.57434	6778.678712	3641.712918	19061.62564	3092.243847	10240.32843	7488.650346	4061.440083	22637.43835	29730.12159	6098.346298	26507.67084	14887.10753	64584.84164	5349.506272	7870.328409	8914.549654	13495.20945	3257.67129	17905.15645	34585.30958	3179.777445	2790.327862	326.0987717	10564.61783	12007.79824	10911.15299	9800.086069	1453.587796	6214.139842	8267.795593	7611.176217	26109.4969	8106.299462	6849.447969	
hsa-miR-3162-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3179-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4283-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4777-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-216b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-541-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-99a-3p	0	0	15.79649271	0	0	0	0	2.720560845	1.861522747	0	54.47711053	1.56634704	29.82777443	0	1.641129847	0	0	0	0	0	0	27.1975631	163.9024375	0	0	0	3.248648668	3.1743695	0	0	99.59564169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-494-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4661-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-548u	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-518f-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-499b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6890-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-513b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-550a-1-22-3p	0	0	0	0	0	31.60226361	0	0	0	0	0	0	11.93110977	0	0	0	0	0	0	0	0	0	0	0	1.893601544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6855-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4694-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-485-3p	12.03079885	63.07612363	130.3461281	17.94880999	1.218518065	2.422448379	12.04124464	20.82447846	76.93943318	21.19785314	0	2.948566626	149.1388722	11.99359255	6.217883942	2.04967804	30.96702921	0	0	0	0	145.0536699	114.7197581	0	46.94532693	17.0919719	188.9884273	0	0	0	9.959564169	26.27154266	19.91674799	128.1886938	47.41513432	2.801758038	2.415546457	0	12.41757832	18.05051489	19.56105004	0	9.724788486	5.229899851	12.33577993	144.9418956	0	6.467845108	
hsa-miR-4261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-506-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1285-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-210-5p	0	0	0	0	0	0	0	0	1.980073732	8.033841596	0	0	47.72443909	0	0	0	0	0	0	0	0	72.52683493	0	0	3.560486281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
